file	volume	xmin	xmax	ymin	ymax	zmin	zmax	cx	cy	cz
assembly.step	314168.144545	-92.000000	115.000000	-80.000000	80.000000	-21.000000	77.000000	2.023331	0.102790	26.462769
axle.step	5036.820693	-5.000000	10.850000	-5.000000	5.000000	-21.000000	77.000000	0.563451	0.000002	27.538338
bearing_cap_bottom.step	25001.526272	-34.350000	34.350000	-33.350000	33.350000	0.000000	8.000000	0.000000	0.000000	3.989303
bearing_cap_top.step	27237.261445	-34.350000	34.350000	-33.350000	33.350000	-0.000000	19.150000	0.421133	-0.035840	5.058718
brake_housing_pin.step	146.752466	54.256120	59.579361	-14.000000	-3.000000	-10.429095	-5.767474	56.869717	-8.063823	-8.298820
brake_housing_rest_pin.step	166.557519	54.919801	60.524644	-14.000000	-3.000000	-18.885647	-14.083226	57.705374	-8.500000	-16.206613
brake_lever.step	2138.532793	52.000000	115.000000	-26.500000	-12.500000	-15.500000	-3.977921	78.425034	-20.900851	-11.468379
brake_spring.step	13.774875	52.875000	62.500000	-15.150000	-11.000000	-14.625000	-5.608616	55.536013	-12.474503	-12.159996
guide_axle.step	682.772803	66.800000	80.800000	-2.608000	9.392000	58.150000	68.000000	73.738583	3.392000	62.132955
housing.step	94289.103548	-92.000000	92.000000	-11.000000	17.784000	-21.000000	77.000000	0.081777	0.234049	27.533509
pancake_spool.step	11339.465780	-44.000000	44.000000	-44.000000	44.000000	0.000000	2.000000	0.000000	-0.000000	1.000000
ratchet_lever.step	2252.288908	58.446257	115.000000	12.500000	26.500000	-15.500000	1.450000	78.093790	20.917636	-10.039848
ratchet_spring.step	13.774875	68.500000	78.125000	11.000000	15.150000	-19.391384	-10.375000	75.463987	12.442431	-12.840004
spool_main_body.step	138922.373620	-80.000000	80.000000	-80.000000	80.000000	-0.000000	51.000000	0.154362	0.008905	23.213412
